Parent Entity or Corporation,Toxic 100 Air Rank,Greenhouse 100 Rank,Toxic 100 Air EJ: Poor Share,Toxic 100 Air EJ: Minority Share,Greenhouse 100 EJ: Poor Share,Greenhouse 100 EJ: Minority Share,Toxic 100 Water Rank
LyondellBasell,1,91,17.00%,68.00%,19.00%,78.00%,3
Boeing,2,,15.00%,35.00%,,,77
Huntsman,3,,15.00%,47.00%,,,135
BASF,4,147,20.00%,35.00%,15.00%,48.00%,2
Dow Inc.,5,44,20.00%,42.00%,18.00%,50.00%,4
Celanese,6,,15.00%,59.00%,,,5
General Electric,7,107,18.00%,39.00%,15.00%,21.00%,88
Terumo,8,,10.00%,32.00%,,,
Eastman Chemical,9,105,20.00%,44.00%,16.00%,19.00%,6
Royal Dutch Shell,10,26,16.00%,52.00%,15.00%,65.00%,106
Ecolab,11,,16.00%,79.00%,,,90
National Oilwell Varco,12,,15.00%,56.00%,,,
Berkshire Hathaway,13,4,17.00%,31.00%,15.00%,36.00%,49
Mitsui,14,,25.00%,67.00%,,,31
Kubota,15,,16.00%,43.00%,,,
TMS International,16,,29.00%,70.00%,,,
Ashland Inc.,17,,20.00%,54.00%,,,32
Northrop Grumman,18,,19.00%,15.00%,,,1
Albemarle,19,,19.00%,73.00%,,,94
SPX FLOW,20,,14.00%,35.00%,,,
Exxon Mobil,21,11,22.00%,70.00%,16.00%,55.00%,35
Howmet Aerospace,22,,23.00%,51.00%,,,87
Rio Tinto,23,,9.00%,30.00%,,,21
Koch Industries,24,23,18.00%,52.00%,14.00%,47.00%,14
Becton Dickinson,25,,19.00%,53.00%,,,103
Kennametal,26,,14.00%,26.00%,,,
Daikin,27,,14.00%,61.00%,,,
Occidental Petroleum,28,48,18.00%,70.00%,12.00%,50.00%,80
Akzo Nobel,29,,19.00%,70.00%,,,125
Evonik Industries,30,,19.00%,31.00%,,,61
Freeport-McMoRan,31,,27.00%,58.00%,,,83
Marathon Petroleum,32,16,20.00%,63.00%,16.00%,70.00%,19
Valero Energy,33,24,21.00%,64.00%,17.00%,71.00%,58
Edwards Lifesciences,34,,48.00%,96.00%,,,
Linde,35,65,23.00%,48.00%,18.00%,63.00%,
Phillips 66,36,20,17.00%,57.00%,15.00%,63.00%,39
Solvay,37,,16.00%,57.00%,,,111
Ametek,38,,11.00%,35.00%,,,
Chevron,39,29,17.00%,74.00%,14.00%,66.00%,50
ArcelorMittal,40,21,27.00%,61.00%,22.00%,62.00%,63
Lincoln Electric Holdings,41,,14.00%,72.00%,,,
Tenneco,42,,17.00%,34.00%,,,62
Emerson Electric,43,,18.00%,40.00%,,,
Allegheny Technologies,44,,13.00%,13.00%,,,53
Pentair,45,,20.00%,51.00%,,,186
Carpenter Technology,46,,17.00%,38.00%,,,173
Westlake Chemical,47,106,16.00%,29.00%,17.00%,35.00%,34
Kingspan PLC,48,,10.00%,18.00%,,,
Parker-Hannifin,49,,16.00%,22.00%,,,
O'Neal Industries,50,,25.00%,56.00%,,,
Middleby,51,,12.00%,21.00%,,,
PBF Energy,52,58,19.00%,63.00%,17.00%,67.00%,27
Baxter International,53,,14.00%,6.00%,,,
United States Steel,54,25,24.00%,53.00%,22.00%,47.00%,48
American Electric Power,55,5,14.00%,9.00%,16.00%,20.00%,17
BP,56,42,20.00%,40.00%,19.00%,74.00%,100
Carlyle Group,57,158,12.00%,39.00%,13.00%,31.00%,76
PPG Industries,58,,14.00%,34.00%,,,68
TechnipFMC,59,,19.00%,74.00%,,,
Deere,60,,22.00%,37.00%,,,84
Goodyear Tire & Rubber,61,,22.00%,76.00%,,,10
Nucor,62,118,19.00%,41.00%,16.00%,44.00%,98
Formosa Plastics,63,129,24.00%,72.00%,19.00%,63.00%,29
Ingredion,64,,16.00%,47.00%,,,30
American Industrial Partners,65,,10.00%,10.00%,,,
Medtronic,66,,15.00%,48.00%,,,
Targa Resources,67,102,23.00%,86.00%,21.00%,75.00%,
Illinois Tool Works,68,,9.00%,42.00%,,,
Husky Energy,69,,20.00%,29.00%,,,152
Owens Corning,70,,18.00%,44.00%,,,
Komatsu,71,,22.00%,56.00%,,,
Raytheon Technologies,72,,13.00%,31.00%,,,185
Cornerstone Building Brands,73,,16.00%,56.00%,,,
Whirlpool,74,,16.00%,14.00%,,,140
Assa Abloy,75,,15.00%,45.00%,,,
Johnson & Johnson,76,,13.00%,46.00%,,,
Graphic Packaging,77,,30.00%,42.00%,,,64
Zimmer Biomet,78,,15.00%,54.00%,,,165
Huntington Ingalls Industries,79,,23.00%,68.00%,,,91
Leggett & Platt,80,,8.00%,36.00%,,,
Trinity Industries,81,,23.00%,40.00%,,,
International Paper,82,116,20.00%,41.00%,18.00%,43.00%,25
